,,,,Total,Hombre,Mujer,No especificado
07 102,Tuxtla Chico,2022,Junio,1,1,,
07 103,Tuzantán,Total,Total,3,2,1,
07 103,Tuzantán,Total,Marzo,1,1,,
07 103,Tuzantán,Total,Noviembre,2,1,1,
07 103,Tuzantán,2022,Total,3,2,1,
07 103,Tuzantán,2022,Marzo,1,1,,
07 103,Tuzantán,2022,Noviembre,2,1,1,
07 106,Venustiano Carranza,Total,Total,2,1,1,
07 106,Venustiano Carranza,Total,Agosto,1,,1,
07 106,Venustiano Carranza,Total,Diciembre,1,1,,
07 106,Venustiano Carranza,2022,Total,2,1,1,
07 106,Venustiano Carranza,2022,Agosto,1,,1,
07 106,Venustiano Carranza,2022,Diciembre,1,1,,
07 107,Villa Corzo,Total,Total,5,5,,
07 107,Villa Corzo,Total,Marzo,2,2,,
07 107,Villa Corzo,Total,Junio,1,1,,
07 107,Villa Corzo,Total,Noviembre,1,1,,
07 107,Villa Corzo,Total,Diciembre,1,1,,
07 107,Villa Corzo,2022,Total,5,5,,
07 107,Villa Corzo,2022,Marzo,2,2,,
07 107,Villa Corzo,2022,Junio,1,1,,
07 107,Villa Corzo,2022,Noviembre,1,1,,
07 107,Villa Corzo,2022,Diciembre,1,1,,
07 108,Villaflores,Total,Total,12,11,1,
07 108,Villaflores,Total,Enero,2,2,,
07 108,Villaflores,Total,Febrero,1,1,,
07 108,Villaflores,Total,Marzo,2,2,,
07 108,Villaflores,Total,Abril,1,1,,
07 108,Villaflores,Total,Septiembre,4,4,,
07 108,Villaflores,Total,Octubre,2,1,1,
07 108,Villaflores,2022,Total,12,11,1,
07 108,Villaflores,2022,Enero,2,2,,
07 108,Villaflores,2022,Febrero,1,1,,
07 108,Villaflores,2022,Marzo,2,2,,
07 108,Villaflores,2022,Abril,1,1,,
07 108,Villaflores,2022,Septiembre,4,4,,
07 108,Villaflores,2022,Octubre,2,1,1,
07 109,Yajalón,Total,Total,2,1,1,
07 109,Yajalón,Total,Enero,1,,1,
07 109,Yajalón,Total,Marzo,1,1,,
07 109,Yajalón,2022,Total,2,1,1,
07 109,Yajalón,2022,Enero,1,,1,
07 109,Yajalón,2022,Marzo,1,1,,
07 111,Zinacantán,Total,Total,2,2,,
07 111,Zinacantán,Total,Julio,1,1,,
07 111,Zinacantán,Total,Noviembre,1,1,,
07 111,Zinacantán,2022,Total,2,2,,
07 111,Zinacantán,2022,Julio,1,1,,
07 111,Zinacantán,2022,Noviembre,1,1,,
07 112,San Juan Cancuc,Total,Total,1,1,,
07 112,San Juan Cancuc,Total,Mayo,1,1,,
07 112,San Juan Cancuc,2022,Total,1,1,,
07 112,San Juan Cancuc,2022,Mayo,1,1,,
07 114,Benemérito de las Américas,Total,Total,14,13,1,
07 114,Benemérito de las Américas,Total,Enero,1,1,,
07 114,Benemérito de las Américas,Total,Marzo,2,2,,
07 114,Benemérito de las Américas,Total,Abril,1,1,,
07 114,Benemérito de las Américas,Total,Mayo,1,1,,
07 114,Benemérito de las Américas,Total,Junio,1,1,,
07 114,Benemérito de las Américas,Total,Julio,2,2,,
07 114,Benemérito de las Américas,Total,Noviembre,3,3,,
07 114,Benemérito de las Américas,Total,Diciembre,2,2,,
07 114,Benemérito de las Américas,Total,No especificado,1,,1,
07 114,Benemérito de las Américas,2022,Total,14,13,1,
07 114,Benemérito de las Américas,2022,Enero,1,1,,
07 114,Benemérito de las Américas,2022,Marzo,2,2,,
07 114,Benemérito de las Américas,2022,Abril,1,1,,
07 114,Benemérito de las Américas,2022,Mayo,1,1,,
07 114,Benemérito de las Américas,2022,Junio,1,1,,
07 114,Benemérito de las Américas,2022,Julio,2,2,,
07 114,Benemérito de las Américas,2022,Noviembre,3,3,,
07 114,Benemérito de las Américas,2022,Diciembre,2,2,,
07 114,Benemérito de las Américas,2022,No especificado,1,,1,
07 115,Maravilla Tenejapa,Total,Total,2,2,,
07 115,Maravilla Tenejapa,Total,Junio,2,2,,
07 115,Maravilla Tenejapa,2022,Total,2,2,,
07 115,Maravilla Tenejapa,2022,Junio,2,2,,
07 116,Marqués de Comillas,Total,Total,13,11,2,
07 116,Marqués de Comillas,Total,Febrero,4,2,2,
07 116,Marqués de Comillas,Total,Mayo,7,7,,
07 116,Marqués de Comillas,Total,Julio,1,1,,
07 116,Marqués de Comillas,Total,Noviembre,1,1,,
07 116,Marqués de Comillas,2022,Total,13,11,2,
07 116,Marqués de Comillas,2022,Febrero,4,2,2,
07 116,Marqués de Comillas,2022,Mayo,7,7,,
07 116,Marqués de Comillas,2022,Julio,1,1,,
07 116,Marqués de Comillas,2022,Noviembre,1,1,,
07 119,Santiago el Pinar,Total,Total,1,1,,
07 119,Santiago el Pinar,Total,Diciembre,1,1,,
07 119,Santiago el Pinar,2022,Total,1,1,,
07 119,Santiago el Pinar,2022,Diciembre,1,1,,
07 121,Rincón Chamula San Pedro,Total,Total,2,2,,
07 121,Rincón Chamula San Pedro,Total,Septiembre,2,2,,
07 121,Rincón Chamula San Pedro,2022,Total,2,2,,
07 121,Rincón Chamula San Pedro,2022,Septiembre,2,2,,
07 124,Mezcalapa,Total,Total,5,5,,
07 124,Mezcalapa,Total,Abril,1,1,,
07 124,Mezcalapa,Total,Julio,1,1,,
07 124,Mezcalapa,Total,Septiembre,2,2,,
07 124,Mezcalapa,Total,Noviembre,1,1,,
07 124,Mezcalapa,2022,Total,5,5,,
07 124,Mezcalapa,2022,Abril,1,1,,
07 124,Mezcalapa,2022,Julio,1,1,,
07 124,Mezcalapa,2022,Septiembre,2,2,,
07 124,Mezcalapa,2022,Noviembre,1,1,,
07 999,No especificado,Total,Total,5,3,2,
07 999,No especificado,Total,Agosto,2,2,,
07 999,No especificado,Total,Octubre,3,1,2,
07 999,No especificado,2022,Total,5,3,2,
07 999,No especificado,2022,Agosto,2,2,,
07 999,No especificado,2022,Octubre,3,1,2,
8,Chihuahua,Total,Total,"2,141","1,899",237,5
8,Chihuahua,Total,Enero,149,129,20,
8,Chihuahua,Total,Febrero,153,130,23,
8,Chihuahua,Total,Marzo,147,129,17,1
8,Chihuahua,Total,Abril,145,126,18,1
8,Chihuahua,Total,Mayo,212,191,21,
8,Chihuahua,Total,Junio,220,194,26,
8,Chihuahua,Total,Julio,221,194,26,1
8,Chihuahua,Total,Agosto,210,189,21,
8,Chihuahua,Total,Septiembre,188,167,20,1
8,Chihuahua,Total,Octubre,201,183,18,
8,Chihuahua,Total,Noviembre,155,139,15,1
8,Chihuahua,Total,Diciembre,134,123,11,
8,Chihuahua,Total,No especificado,6,5,1,
8,Chihuahua,1999,Total,1,1,,
8,Chihuahua,1999,Julio,1,1,,
8,Chihuahua,2016,Total,1,,1,
8,Chihuahua,2016,Marzo,1,,1,
8,Chihuahua,2019,Total,1,1,,
8,Chihuahua,2019,Mayo,1,1,,
8,Chihuahua,2020,Total,14,13,,1
8,Chihuahua,2020,Enero,1,1,,
8,Chihuahua,2020,Abril,1,1,,
8,Chihuahua,2020,Mayo,3,3,,
8,Chihuahua,2020,Junio,1,1,,
8,Chihuahua,2020,Agosto,2,2,,
8,Chihuahua,2020,Septiembre,2,1,,1
8,Chihuahua,2020,Octubre,1,1,,
8,Chihuahua,2020,Noviembre,3,3,,
8,Chihuahua,2021,Total,24,21,2,1
8,Chihuahua,2021,Enero,1,1,,
8,Chihuahua,2021,Marzo,4,2,1,1
8,Chihuahua,2021,Mayo,3,3,,
8,Chihuahua,2021,Junio,4,4,,
8,Chihuahua,2021,Julio,5,4,1,
8,Chihuahua,2021,Agosto,1,1,,
8,Chihuahua,2021,Septiembre,1,1,,
8,Chihuahua,2021,Noviembre,3,3,,
8,Chihuahua,2021,Diciembre,2,2,,
8,Chihuahua,2022,Total,"2,098","1,861",234,3
8,Chihuahua,2022,Enero,147,127,20,
8,Chihuahua,2022,Febrero,153,130,23,
8,Chihuahua,2022,Marzo,142,127,15,
8,Chihuahua,2022,Abril,144,125,18,1
8,Chihuahua,2022,Mayo,205,184,21,
8,Chihuahua,2022,Junio,215,189,26,
8,Chihuahua,2022,Julio,215,189,25,1
8,Chihuahua,2022,Agosto,207,186,21,
8,Chihuahua,2022,Septiembre,185,165,20,
8,Chihuahua,2022,Octubre,200,182,18,
8,Chihuahua,2022,Noviembre,149,133,15,1
8,Chihuahua,2022,Diciembre,132,121,11,
8,Chihuahua,2022,No especificado,4,3,1,
8,Chihuahua,No especificado,Total,2,2,,
8,Chihuahua,No especificado,No especificado,2,2,,
08 001,Ahumada,Total,Total,4,4,,
08 001,Ahumada,Total,Junio,1,1,,
08 001,Ahumada,Total,Agosto,2,2,,
08 001,Ahumada,Total,Noviembre,1,1,,
08 001,Ahumada,2022,Total,4,4,,
08 001,Ahumada,2022,Junio,1,1,,
08 001,Ahumada,2022,Agosto,2,2,,
08 001,Ahumada,2022,Noviembre,1,1,,
08 002,Aldama,Total,Total,4,4,,
08 002,Aldama,Total,Abril,1,1,,
08 002,Aldama,Total,Julio,1,1,,
08 002,Aldama,Total,Septiembre,1,1,,
08 002,Aldama,Total,Noviembre,1,1,,
08 002,Aldama,2020,Total,1,1,,
08 002,Aldama,2020,Septiembre,1,1,,
08 002,Aldama,2022,Total,3,3,,
08 002,Aldama,2022,Abril,1,1,,
08 002,Aldama,2022,Julio,1,1,,
08 002,Aldama,2022,Noviembre,1,1,,
08 003,Allende,Total,Total,3,3,,
08 003,Allende,Total,Junio,3,3,,
08 003,Allende,2022,Total,3,3,,
08 003,Allende,2022,Junio,3,3,,
08 004,Aquiles Serdán,Total,Total,10,10,,
08 004,Aquiles Serdán,Total,Febrero,2,2,,
08 004,Aquiles Serdán,Total,Marzo,2,2,,
08 004,Aquiles Serdán,Total,Junio,2,2,,
08 004,Aquiles Serdán,Total,Septiembre,1,1,,
08 004,Aquiles Serdán,Total,Noviembre,3,3,,
08 004,Aquiles Serdán,2022,Total,10,10,,
08 004,Aquiles Serdán,2022,Febrero,2,2,,
08 004,Aquiles Serdán,2022,Marzo,2,2,,
08 004,Aquiles Serdán,2022,Junio,2,2,,
08 004,Aquiles Serdán,2022,Septiembre,1,1,,
08 004,Aquiles Serdán,2022,Noviembre,3,3,,
08 005,Ascensión,Total,Total,6,6,,
08 005,Ascensión,Total,Marzo,2,2,,
08 005,Ascensión,Total,Septiembre,4,4,,
08 005,Ascensión,2022,Total,6,6,,
08 005,Ascensión,2022,Marzo,2,2,,
08 005,Ascensión,2022,Septiembre,4,4,,
08 006,Bachíniva,Total,Total,1,1,,
08 006,Bachíniva,Total,Julio,1,1,,
08 006,Bachíniva,2022,Total,1,1,,
08 006,Bachíniva,2022,Julio,1,1,,
08 007,Balleza,Total,Total,13,12,1,
08 007,Balleza,Total,Enero,1,1,,
08 007,Balleza,Total,Marzo,3,3,,
08 007,Balleza,Total,Abril,1,,1,
08 007,Balleza,Total,Mayo,1,1,,
08 007,Balleza,Total,Julio,1,1,,
08 007,Balleza,Total,Agosto,1,1,,
08 007,Balleza,Total,Septiembre,2,2,,
08 007,Balleza,Total,Octubre,1,1,,
08 007,Balleza,Total,Diciembre,2,2,,
08 007,Balleza,2022,Total,13,12,1,
08 007,Balleza,2022,Enero,1,1,,
08 007,Balleza,2022,Marzo,3,3,,
08 007,Balleza,2022,Abril,1,,1,
08 007,Balleza,2022,Mayo,1,1,,
08 007,Balleza,2022,Julio,1,1,,
08 007,Balleza,2022,Agosto,1,1,,
08 007,Balleza,2022,Septiembre,2,2,,
08 007,Balleza,2022,Octubre,1,1,,
08 007,Balleza,2022,Diciembre,2,2,,
08 008,Batopilas de Manuel Gómez Morín,Total,Total,5,3,2,
08 008,Batopilas de Manuel Gómez Morín,Total,Marzo,1,,1,
08 008,Batopilas de Manuel Gómez Morín,Total,Abril,1,,1,
08 008,Batopilas de Manuel Gómez Morín,Total,Mayo,1,1,,
08 008,Batopilas de Manuel Gómez Morín,Total,Junio,1,1,,
08 008,Batopilas de Manuel Gómez Morín,Total,Julio,1,1,,
08 008,Batopilas de Manuel Gómez Morín,2016,Total,1,,1,
08 008,Batopilas de Manuel Gómez Morín,2016,Marzo,1,,1,
08 008,Batopilas de Manuel Gómez Morín,2022,Total,4,3,1,
08 008,Batopilas de Manuel Gómez Morín,2022,Abril,1,,1,
08 008,Batopilas de Manuel Gómez Morín,2022,Mayo,1,1,,
08 008,Batopilas de Manuel Gómez Morín,2022,Junio,1,1,,
08 008,Batopilas de Manuel Gómez Morín,2022,Julio,1,1,,
08 009,Bocoyna,Total,Total,19,17,2,
08 009,Bocoyna,Total,Enero,4,4,,
08 009,Bocoyna,Total,Marzo,2,1,1,
08 009,Bocoyna,Total,Abril,2,2,,
08 009,Bocoyna,Total,Junio,1,1,,
08 009,Bocoyna,Total,Julio,3,2,1,
08 009,Bocoyna,Total,Octubre,3,3,,
08 009,Bocoyna,Total,Diciembre,4,4,,
08 009,Bocoyna,2020,Total,1,1,,
08 009,Bocoyna,2020,Octubre,1,1,,
08 009,Bocoyna,2021,Total,4,3,1,
08 009,Bocoyna,2021,Enero,1,1,,
08 009,Bocoyna,2021,Marzo,2,1,1,
08 009,Bocoyna,2021,Junio,1,1,,
08 009,Bocoyna,2022,Total,14,13,1,
08 009,Bocoyna,2022,Enero,3,3,,
08 009,Bocoyna,2022,Abril,2,2,,
08 009,Bocoyna,2022,Julio,3,2,1,
08 009,Bocoyna,2022,Octubre,2,2,,
08 009,Bocoyna,2022,Diciembre,4,4,,
08 010,Buenaventura,Total,Total,1,1,,
08 010,Buenaventura,Total,Mayo,1,1,,
08 010,Buenaventura,2022,Total,1,1,,
08 010,Buenaventura,2022,Mayo,1,1,,
08 011,Camargo,Total,Total,12,12,,
08 011,Camargo,Total,Abril,2,2,,
08 011,Camargo,Total,Junio,1,1,,
08 011,Camargo,Total,Julio,3,3,,
08 011,Camargo,Total,Agosto,3,3,,
08 011,Camargo,Total,Noviembre,3,3,,
08 011,Camargo,2022,Total,12,12,,
08 011,Camargo,2022,Abril,2,2,,
08 011,Camargo,2022,Junio,1,1,,
08 011,Camargo,2022,Julio,3,3,,
08 011,Camargo,2022,Agosto,3,3,,
08 011,Camargo,2022,Noviembre,3,3,,
08 012,Carichí,Total,Total,5,4,1,
08 012,Carichí,Total,Mayo,1,1,,
08 012,Carichí,Total,Julio,1,1,,
08 012,Carichí,Total,Septiembre,1,1,,
08 012,Carichí,Total,Noviembre,1,,1,
08 012,Carichí,Total,Diciembre,1,1,,
08 012,Carichí,2021,Total,1,1,,
08 012,Carichí,2021,Julio,1,1,,
08 012,Carichí,2022,Total,4,3,1,
08 012,Carichí,2022,Mayo,1,1,,
08 012,Carichí,2022,Septiembre,1,1,,
08 012,Carichí,2022,Noviembre,1,,1,
08 012,Carichí,2022,Diciembre,1,1,,
08 013,Casas Grandes,Total,Total,5,5,,
08 013,Casas Grandes,Total,Febrero,2,2,,
08 013,Casas Grandes,Total,Abril,1,1,,
08 013,Casas Grandes,Total,Junio,2,2,,
08 013,Casas Grandes,2022,Total,5,5,,
08 013,Casas Grandes,2022,Febrero,2,2,,
08 013,Casas Grandes,2022,Abril,1,1,,
08 013,Casas Grandes,2022,Junio,2,2,,
08 014,Coronado,Total,Total,2,2,,
08 014,Coronado,Total,Junio,1,1,,
08 014,Coronado,Total,Diciembre,1,1,,
08 014,Coronado,2022,Total,2,2,,
08 014,Coronado,2022,Junio,1,1,,
08 014,Coronado,2022,Diciembre,1,1,,
08 016,La Cruz,Total,Total,3,3,,
08 016,La Cruz,Total,Junio,1,1,,
08 016,La Cruz,Total,Julio,1,1,,
08 016,La Cruz,Total,Agosto,1,1,,
08 016,La Cruz,2022,Total,3,3,,
08 016,La Cruz,2022,Junio,1,1,,
08 016,La Cruz,2022,Julio,1,1,,
08 016,La Cruz,2022,Agosto,1,1,,
08 017,Cuauhtémoc,Total,Total,113,104,8,1
08 017,Cuauhtémoc,Total,Enero,8,7,1,
08 017,Cuauhtémoc,Total,Marzo,5,5,,
08 017,Cuauhtémoc,Total,Abril,7,6,1,
08 017,Cuauhtémoc,Total,Mayo,6,5,1,
08 017,Cuauhtémoc,Total,Junio,16,15,1,
08 017,Cuauhtémoc,Total,Julio,8,6,2,
08 017,Cuauhtémoc,Total,Agosto,11,11,,
08 017,Cuauhtémoc,Total,Septiembre,8,7,,1
08 017,Cuauhtémoc,Total,Octubre,9,9,,
08 017,Cuauhtémoc,Total,Noviembre,20,20,,
08 017,Cuauhtémoc,Total,Diciembre,12,11,1,
08 017,Cuauhtémoc,Total,No especificado,3,2,1,
08 017,Cuauhtémoc,2020,Total,4,3,,1
08 017,Cuauhtémoc,2020,Abril,1,1,,
08 017,Cuauhtémoc,2020,Mayo,1,1,,
08 017,Cuauhtémoc,2020,Septiembre,1,,,1
08 017,Cuauhtémoc,2020,Noviembre,1,1,,
08 017,Cuauhtémoc,2021,Total,3,2,1,
08 017,Cuauhtémoc,2021,Mayo,1,1,,
08 017,Cuauhtémoc,2021,Julio,2,1,1,
08 017,Cuauhtémoc,2022,Total,106,99,7,
08 017,Cuauhtémoc,2022,Enero,8,7,1,
08 017,Cuauhtémoc,2022,Marzo,5,5,,
08 017,Cuauhtémoc,2022,Abril,6,5,1,
08 017,Cuauhtémoc,2022,Mayo,4,3,1,
08 017,Cuauhtémoc,2022,Junio,16,15,1,
08 017,Cuauhtémoc,2022,Julio,6,5,1,
08 017,Cuauhtémoc,2022,Agosto,11,11,,
08 017,Cuauhtémoc,2022,Septiembre,7,7,,
08 017,Cuauhtémoc,2022,Octubre,9,9,,
08 017,Cuauhtémoc,2022,Noviembre,19,19,,
08 017,Cuauhtémoc,2022,Diciembre,12,11,1,
08 017,Cuauhtémoc,2022,No especificado,3,2,1,
08 018,Cusihuiriachi,Total,Total,2,2,,
08 018,Cusihuiriachi,Total,Enero,1,1,,
08 018,Cusihuiriachi,Total,Septiembre,1,1,,
08 018,Cusihuiriachi,2022,Total,2,2,,
08 018,Cusihuiriachi,2022,Enero,1,1,,
08 018,Cusihuiriachi,2022,Septiembre,1,1,,
08 019,Chihuahua,Total,Total,459,408,51,
08 019,Chihuahua,Total,Enero,21,18,3,
08 019,Chihuahua,Total,Febrero,32,27,5,
08 019,Chihuahua,Total,Marzo,30,28,2,
08 019,Chihuahua,Total,Abril,33,30,3,
08 019,Chihuahua,Total,Mayo,53,48,5,
08 019,Chihuahua,Total,Junio,52,44,8,
08 019,Chihuahua,Total,Julio,49,43,6,
08 019,Chihuahua,Total,Agosto,49,45,4,
08 019,Chihuahua,Total,Septiembre,39,34,5,
08 019,Chihuahua,Total,Octubre,48,42,6,
08 019,Chihuahua,Total,Noviembre,27,24,3,
08 019,Chihuahua,Total,Diciembre,26,25,1,
08 019,Chihuahua,2019,Total,1,1,,
08 019,Chihuahua,2019,Mayo,1,1,,
08 019,Chihuahua,2020,Total,3,3,,
08 019,Chihuahua,2020,Junio,1,1,,
08 019,Chihuahua,2020,Agosto,1,1,,
08 019,Chihuahua,2020,Noviembre,1,1,,
08 019,Chihuahua,2021,Total,4,4,,
08 019,Chihuahua,2021,Mayo,1,1,,
08 019,Chihuahua,2021,Julio,1,1,,
08 019,Chihuahua,2021,Diciembre,2,2,,
08 019,Chihuahua,2022,Total,451,400,51,
08 019,Chihuahua,2022,Enero,21,18,3,
08 019,Chihuahua,2022,Febrero,32,27,5,
08 019,Chihuahua,2022,Marzo,30,28,2,
08 019,Chihuahua,2022,Abril,33,30,3,
08 019,Chihuahua,2022,Mayo,51,46,5,
08 019,Chihuahua,2022,Junio,51,43,8,
08 019,Chihuahua,2022,Julio,48,42,6,
08 019,Chihuahua,2022,Agosto,48,44,4,
08 019,Chihuahua,2022,Septiembre,39,34,5,
08 019,Chihuahua,2022,Octubre,48,42,6,
08 019,Chihuahua,2022,Noviembre,26,23,3,
08 019,Chihuahua,2022,Diciembre,24,23,1,
08 020,Chínipas,Total,Total,2,1,1,
08 020,Chínipas,Total,Febrero,1,,1,
08 020,Chínipas,Total,Mayo,1,1,,
08 020,Chínipas,2022,Total,2,1,1,
08 020,Chínipas,2022,Febrero,1,,1,
08 020,Chínipas,2022,Mayo,1,1,,
08 021,Delicias,Total,Total,23,22,1,
08 021,Delicias,Total,Enero,1,1,,
08 021,Delicias,Total,Marzo,2,2,,
08 021,Delicias,Total,Abril,4,4,,
08 021,Delicias,Total,Mayo,2,2,,
08 021,Delicias,Total,Junio,1,1,,
08 021,Delicias,Total,Julio,1,1,,
08 021,Delicias,Total,Septiembre,5,4,1,
08 021,Delicias,Total,Octubre,2,2,,
08 021,Delicias,Total,Diciembre,4,4,,
08 021,Delicias,Total,No especificado,1,1,,
08 021,Delicias,2022,Total,23,22,1,
08 021,Delicias,2022,Enero,1,1,,
08 021,Delicias,2022,Marzo,2,2,,
08 021,Delicias,2022,Abril,4,4,,
08 021,Delicias,2022,Mayo,2,2,,
08 021,Delicias,2022,Junio,1,1,,
08 021,Delicias,2022,Julio,1,1,,
08 021,Delicias,2022,Septiembre,5,4,1,
08 021,Delicias,2022,Octubre,2,2,,
08 021,Delicias,2022,Diciembre,4,4,,
08 021,Delicias,2022,No especificado,1,1,,
08 022,Dr. Belisario Domínguez,Total,Total,1,1,,
08 022,Dr. Belisario Domínguez,Total,Noviembre,1,1,,
08 022,Dr. Belisario Domínguez,2022,Total,1,1,,
08 022,Dr. Belisario Domínguez,2022,Noviembre,1,1,,
08 023,Galeana,Total,Total,4,4,,
08 023,Galeana,Total,Mayo,4,4,,
08 023,Galeana,2022,Total,4,4,,
08 023,Galeana,2022,Mayo,4,4,,
08 024,Santa Isabel,Total,Total,2,2,,
08 024,Santa Isabel,Total,Febrero,1,1,,
08 024,Santa Isabel,Total,Junio,1,1,,
08 024,Santa Isabel,2022,Total,2,2,,
08 024,Santa Isabel,2022,Febrero,1,1,,
08 024,Santa Isabel,2022,Junio,1,1,,
08 025,Gómez Farías,Total,Total,2,1,,1
08 025,Gómez Farías,Total,Marzo,1,,,1
08 025,Gómez Farías,Total,Abril,1,1,,
08 025,Gómez Farías,2021,Total,1,,,1
08 025,Gómez Farías,2021,Marzo,1,,,1
08 025,Gómez Farías,2022,Total,1,1,,
08 025,Gómez Farías,2022,Abril,1,1,,
08 027,Guachochi,Total,Total,54,46,7,1
08 027,Guachochi,Total,Enero,1,1,,
08 027,Guachochi,Total,Febrero,8,7,1,
08 027,Guachochi,Total,Marzo,5,4,1,
08 027,Guachochi,Total,Abril,7,5,1,1
08 027,Guachochi,Total,Mayo,4,3,1,
08 027,Guachochi,Total,Junio,2,,2,
08 027,Guachochi,Total,Julio,5,5,,
08 027,Guachochi,Total,Agosto,2,2,,
08 027,Guachochi,Total,Septiembre,4,4,,
08 027,Guachochi,Total,Octubre,9,9,,
08 027,Guachochi,Total,Noviembre,1,1,,
08 027,Guachochi,Total,Diciembre,6,5,1,
08 027,Guachochi,2022,Total,54,46,7,1
08 027,Guachochi,2022,Enero,1,1,,
08 027,Guachochi,2022,Febrero,8,7,1,
08 027,Guachochi,2022,Marzo,5,4,1,
08 027,Guachochi,2022,Abril,7,5,1,1
08 027,Guachochi,2022,Mayo,4,3,1,
08 027,Guachochi,2022,Junio,2,,2,
08 027,Guachochi,2022,Julio,5,5,,
08 027,Guachochi,2022,Agosto,2,2,,
08 027,Guachochi,2022,Septiembre,4,4,,
08 027,Guachochi,2022,Octubre,9,9,,
08 027,Guachochi,2022,Noviembre,1,1,,
08 027,Guachochi,2022,Diciembre,6,5,1,
08 028,Guadalupe,Total,Total,5,5,,
08 028,Guadalupe,Total,Enero,2,2,,
08 028,Guadalupe,Total,Julio,1,1,,
08 028,Guadalupe,Total,Agosto,2,2,,
08 028,Guadalupe,1999,Total,1,1,,
08 028,Guadalupe,1999,Julio,1,1,,
08 028,Guadalupe,2020,Total,2,2,,
08 028,Guadalupe,2020,Enero,1,1,,
08 028,Guadalupe,2020,Agosto,1,1,,
08 028,Guadalupe,2022,Total,2,2,,
08 028,Guadalupe,2022,Enero,1,1,,
08 028,Guadalupe,2022,Agosto,1,1,,
08 029,Guadalupe y Calvo,Total,Total,66,58,8,
08 029,Guadalupe y Calvo,Total,Enero,11,10,1,
08 029,Guadalupe y Calvo,Total,Febrero,8,8,,
08 029,Guadalupe y Calvo,Total,Marzo,9,6,3,
08 029,Guadalupe y Calvo,Total,Abril,3,2,1,
08 029,Guadalupe y Calvo,Total,Mayo,8,6,2,
08 029,Guadalupe y Calvo,Total,Junio,11,10,1,
08 029,Guadalupe y Calvo,Total,Agosto,6,6,,
08 029,Guadalupe y Calvo,Total,Septiembre,7,7,,
08 029,Guadalupe y Calvo,Total,Noviembre,1,1,,
08 029,Guadalupe y Calvo,Total,Diciembre,2,2,,
08 029,Guadalupe y Calvo,2022,Total,66,58,8,
08 029,Guadalupe y Calvo,2022,Enero,11,10,1,
08 029,Guadalupe y Calvo,2022,Febrero,8,8,,
08 029,Guadalupe y Calvo,2022,Marzo,9,6,3,
08 029,Guadalupe y Calvo,2022,Abril,3,2,1,
08 029,Guadalupe y Calvo,2022,Mayo,8,6,2,
08 029,Guadalupe y Calvo,2022,Junio,11,10,1,
08 029,Guadalupe y Calvo,2022,Agosto,6,6,,
08 029,Guadalupe y Calvo,2022,Septiembre,7,7,,
08 029,Guadalupe y Calvo,2022,Noviembre,1,1,,
08 029,Guadalupe y Calvo,2022,Diciembre,2,2,,
08 030,Guazapares,Total,Total,2,2,,
08 030,Guazapares,Total,Julio,1,1,,
08 030,Guazapares,Total,Agosto,1,1,,
08 030,Guazapares,2022,Total,2,2,,
08 030,Guazapares,2022,Julio,1,1,,
08 030,Guazapares,2022,Agosto,1,1,,
08 031,Guerrero,Total,Total,29,25,4,
08 031,Guerrero,Total,Enero,7,5,2,
08 031,Guerrero,Total,Febrero,2,2,,
08 031,Guerrero,Total,Marzo,1,1,,
08 031,Guerrero,Total,Abril,2,2,,
08 031,Guerrero,Total,Junio,2,2,,
08 031,Guerrero,Total,Julio,3,2,1,
08 031,Guerrero,Total,Agosto,2,2,,
08 031,Guerrero,Total,Septiembre,2,2,,
08 031,Guerrero,Total,Octubre,5,5,,
08 031,Guerrero,Total,Noviembre,2,1,1,
08 031,Guerrero,Total,Diciembre,1,1,,
08 031,Guerrero,2021,Total,1,1,,
08 031,Guerrero,2021,Septiembre,1,1,,
08 031,Guerrero,2022,Total,28,24,4,
08 031,Guerrero,2022,Enero,7,5,2,
08 031,Guerrero,2022,Febrero,2,2,,
08 031,Guerrero,2022,Marzo,1,1,,
08 031,Guerrero,2022,Abril,2,2,,
08 031,Guerrero,2022,Junio,2,2,,
08 031,Guerrero,2022,Julio,3,2,1,
08 031,Guerrero,2022,Agosto,2,2,,
08 031,Guerrero,2022,Septiembre,1,1,,
08 031,Guerrero,2022,Octubre,5,5,,
08 031,Guerrero,2022,Noviembre,2,1,1,
08 031,Guerrero,2022,Diciembre,1,1,,
08 032,Hidalgo del Parral,Total,Total,27,23,4,
08 032,Hidalgo del Parral,Total,Enero,3,2,1,
08 032,Hidalgo del Parral,Total,Febrero,1,1,,
08 032,Hidalgo del Parral,Total,Marzo,3,3,,
08 032,Hidalgo del Parral,Total,Abril,2,1,1,
08 032,Hidalgo del Parral,Total,Mayo,3,2,1,
08 032,Hidalgo del Parral,Total,Junio,3,3,,
08 032,Hidalgo del Parral,Total,Julio,4,4,,
08 032,Hidalgo del Parral,Total,Agosto,3,2,1,
08 032,Hidalgo del Parral,Total,Septiembre,4,4,,
08 032,Hidalgo del Parral,Total,Octubre,1,1,,
08 032,Hidalgo del Parral,2022,Total,27,23,4,
08 032,Hidalgo del Parral,2022,Enero,3,2,1,
08 032,Hidalgo del Parral,2022,Febrero,1,1,,
08 032,Hidalgo del Parral,2022,Marzo,3,3,,
08 032,Hidalgo del Parral,2022,Abril,2,1,1,
08 032,Hidalgo del Parral,2022,Mayo,3,2,1,
